Barbell Bench Press Medium Grip,Chest ,Barbell ,Strength ,"Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.
From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest.
After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it.
Repeat the movement for the prescribed amount of repetitions.
When you are done, place the bar back in the rack.
Caution:

If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used.

Also, beware of letting the bar drift too far forward. You want the bar to touch your middle chest and nowhere else.

Don't bounce the weight off your chest. You should be in full control of the barbell at all times.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/360/Male/m/360_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/360/Male/m/360_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif
Incline Dumbbell Press,Chest,Dumbell,Strength ,"Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other.
Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width.
Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position.
Be sure to keep full control of the dumbbells at all times. Then breathe out and push the dumbbells up with your chest.
Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them.
Repeat the movement for the prescribed amount of repetitions.
When you are done, place the dumbbells back on your thighs and then on the floor. This is the safest manner to release the dumbbells.
Variations: You can use several angles on the incline bench if the bench you are using is adjustable.

Another variation of this exercise is to perform it with the palms of the hands facing each other.

Also, you can perform the exercise with the palms facing each other and then twisting the wrist as you lift the dumbbells so that at the top of the movement the palms are facing away from the body. I personally do not use this variation very often as it seems to be hard on my shoulders.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/380/Male/m/380_2.jpg

https://www.bodybuilding.com/exercises/exerciseImages/sequences/380/Male/m/380_1.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif
Low Cable Crossover,Chest,Cable,Strength ,"To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand.
Step forward, gaining tension in the pulleys. Your palms should be facing forward, hands below the waist, and your arms straight. This will be your starting position.
With a slight bend in your arms, draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest, palms facing up.
Return your arms back to the starting position after a brief pause.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/1621/Male/m/1621_1.jpg

https://www.bodybuilding.com/exercises/exerciseImages/sequences/1621/Male/m/1621_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-1.gif
Plank,Abdominals,Body Only,Strength,"Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder. Keep your body straight at all times, and hold this position as long as possible. To increase difficulty, an arm or leg can be raised.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/l/908_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/908/Male/l/908_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-13.gif
Elbow to Knee,Abdominals, Body Only,Strength,"Lie on the floor, crossing your right leg across your bent left knee. Clasp your hands behind your head, beginning with your shoulder blades on the ground. This will be your starting position. Perform the motion by flexing the spine and rotating your torso to bring the left elbow to the right knee. Return to the starting position and repeat the movement for the desired number of repetitions before switching sides.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/l/2031_1.jpg 
https://www.bodybuilding.com/exercises/exerciseImages/sequences/2031/Male/l/2031_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-13.gif
Plate Twist,Abdominals,Weights,Strength,Lie down on the floor or an exercise mat with your legs fully extended and your upper body upright. Grab the plate by its sides with both hands out in front of your abdominals with your arms slightly bent. Slowly cross your legs near your ankles and lift them up off the ground. Your knees should also be bent slightly.  Note: Move your upper body back slightly to help keep you balanced turning this exercise. This is the starting position. Move the plate to the left side and touch the floor with it. Breathe out as you perform that movement. Come back to the starting position as you breathe in and then repeat the movement but this time to the right side of the body. Tip: Use a slow controlled movement at all times. Jerking motions can injure the back. Repeat for the recommended amount of repetitions.,"https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_3.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/l/106_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-13.gif
Pullups,Back,Body Only,Strength ,"Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.
As you have both arms extended in front of you holding the bar at the chosen grip width, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.
Pull your torso up until the bar touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.
After a second on the contracted position, start to inhale and slowly lower your torso back to the starting position when your arms are fully extended and the lats are fully stretched.
Repeat this motion for the prescribed amount of repetitions.
Variations:

If you are new at this exercise and do not have the strength to perform it, use a chin assist machine if available. These machines use weight to help you push your bodyweight.
Otherwise, a spotter holding your legs can help.
On the other hand, more advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates.
The behind the neck variation is not recommended as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/46/Male/m/46_1.jpg


https://www.bodybuilding.com/exercises/exerciseImages/sequences/46/Male/m/46_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-3.gif
One Arm Long Bbar Row,Back,Barbell,Strength ," Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.
Stand next to the bar, and take a grip with one hand close to the collar. Using your hips and legs, rise to a standing position.
Assume a bent-knee stance with your hips back and your chest up. Your arm should be extended. This will be your starting position.
Pull the weight to your side by retracting the shoulder and flexing the elbow. Do not jerk the weight or cheat during the movement.
After a brief pause, return to the starting position.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/1941/Male/m/1941_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/1941/Male/m/1941_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-4.gif
Axle Deadlift,Back,Barbell,Strongman,"Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip.
With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward.
After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/750/Male/m/750_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/750/Male/m/750_1.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-5.gif
Weighted Bench Dip,Triceps,Weights,Strength,"For this exercise you will need to place a bench behind your back and another one in front of you. With the benches perpendicular to your body, hold on to one bench on its edge with the hands close to your body, separated at shoulder width. Your arms should be fully extended. The legs will be extended forward on top of the other bench. Your legs should be parallel to the floor while your torso is to be perpendicular to the floor. Have your partner place the dumbbell on your lap.  Note: This exercise is best performed with a partner as placing the weight on your lap can be challenging and cause injury without assistance. This will be your starting position. Slowly lower your body as you inhale by bending at the elbows until you lower yourself far enough to where there is an angle slightly smaller than 90 degrees between the upper arm and the forearm. Tip: Keep the elbows as close as possible throughout the movement. Forearms should always be pointing down. Using your triceps to bring your torso up again, lift yourself back to the starting position while exhaling. Repeat for the recommended amount of repetitions. Caution: By placing your legs on top of another flat bench in front of you, the exercise becomes more challenging. It is best to attempt this exercise without any weights at first in order to get used to the movements required for good form. If that variation also becomes easy, then you can have a partner place plates on top of your lap. Make sure that in this case the partner ensures that the weights stay there throughout the movement.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/334/Male/l/334_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/334/Male/l/334_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-10.gif
Triceps Pushdown  V Bar Attachment,Triceps,Cable,Strength,"
Attach a V-Bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.
Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. The thumbs should be higher than the small finger. This is your starting position.
Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
After a second hold at the contracted position, bring the V-Bar slowly up to the starting point. Breathe in as you perform this step.
Repeat for the recommended amount of repetitions.
Variations: There are many variations to this movement. For instance you can use an E-Z bar attachment as well as a straight cable bar attachment for different variations of the exercise. Also, you can attach a rope to the pulley as well as using a reverse grip on the bar exercises.

Just like the Triceps Pushdown but with the V-Bar attachment.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/143/Male/l/143_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/143/Male/l/143_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-10.gif
Dips  Triceps Version,Triceps,Body Only,Strength,"To get into the starting position, hold your body at arm's length with your arms nearly locked above the bars.
Now, inhale and slowly lower yourself downward. Your torso should remain upright and your elbows should stay close to your body. This helps to better focus on tricep involvement. Lower yourself until there is a 90 degree angle formed between the upper arm and forearm.
Then, exhale and push your torso back up using your triceps to bring your body back to the starting position.
Repeat the movement for the prescribed amount of repetitions.
Variations: If you are new at this exercise and do not have the strength to perform it, use a dip assist machine if available. These machines use weight to help you push your bodyweight.

Otherwise, a spotter holding your legs can help.

More advanced lifters can add weight to the exercise by using a weight belt that allows the addition of weighted plates.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/55/Male/l/55_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/55/Male/l/55_1.jpg
",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-10.gif
Push Press,Shoulders,Barbell,Olympic Weightlifting,"Beginning Position:

Use the floor-to-shoulder lifting technique described in the Power Clean exercise to move the bar from the floor to the shoulders.
Upward Movement Phase:

Slightly flex the hips and knees, keeping torso erect.
Immediately follow with an explosive push upward by extending the knees.
Keep torso erect and tensed.
At maximum hip and knee extension, shift body weight to balls of feet and extend ankle joints.
At maximum plantar flexion, push bar from the shoulders.
Push the bar with the arms to a fully extended elbow position overhead.
Downward Movement Phase:

Lower bar to shoulders.
Flex hips and knees slightly as bar touches shoulders.
Straighten the hips and knees before the upward movement phase begins again.
Breathing:

Exhale through the sticking point of the upward movement phase.
Inhale during the downward movement phase.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/m/186_1.jpg


https://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/m/186_2.jpg

https://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/m/186_3.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-12.gif
Standing Military Press,Shoulders,Barbell,Strength ,"Start by placing a barbell that is about chest high on a squat rack. Once you have selected the weights, grab the barbell using a pronated (palms facing forward) grip. Make sure to grip the bar wider than shoulder width apart from each other.
Slightly bend the knees and place the barbell on your collar bone. Lift the barbell up keeping it lying on your chest. Take a step back and position your feet shoulder width apart from each other.
Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.
Lower the bar down to the collarbone slowly as you inhale.
Lift the bar back up to the starting position as you exhale.
Repeat for the recommended amount of repetitions.
Variations:

This exercise can also be performed sitting as those with lower back problems are better off performing this seated variety.
The behind the neck variation is not recommended for people with shoulder problems as it can be hard on the rotator cuff due to the hyperextension created by bringing the bar behind the neck.
Another option is to use dumbbells when performing this exercise for better isolation.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/370/Male/m/370_1.jpg


https://www.bodybuilding.com/exercises/exerciseImages/sequences/370/Male/m/370_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-12.gif
One Arm Kettlebell Push Press,Shoulders,Kettlebells,Strength ,"Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.
Dip your body by bending the knees, keeping your torso upright.
Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight. Lower the weight to perform the next repetition.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/519/Male/m/519_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/519/Male/m/519_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/519/Male/m/519_3.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-12.gif
Incline Hammer Curls,Biceps,Dumbbell,Strength,"
Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position.
Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary.
Continue to the top of the movement and pause, then slowly return to the start position.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/l/882_2.jpg
",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-15.gif
Barbell Curl,Biceps,Barbell,Strength,"Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position.
While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move.
Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.
Slowly begin to bring the bar back to starting position as your breathe in.
Repeat for the recommended amount of repetitions.
Variations:

You can also perform this movement using a straight bar attachment hooked to a low pulley. This variation seems to really provide a good contraction at the top of the movement.
You may also use the closer grip for variety purposes.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/169/Male/l/169_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/169/Male/l/169_1.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-15.gif
Concentration Curls,Biceps,Dumbbell,Strength,"
Sit down on a flat bench with one dumbbell in front of you between your legs. Your legs should be spread with your knees bent and feet on the floor.
Use your right arm to pick the dumbbell up. Place the back of your right upper arm on the top of your inner right thigh. Rotate the palm of your hand until it is facing forward away from your thigh. Tip: Your arm should be extended and the dumbbell should be above the floor. This will be your starting position.
While holding the upper arm stationary, curl the weights forward while contracting the biceps as you breathe out. Only the forearms should move. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level. Tip: At the top of the movement make sure that the little finger of your arm is higher than your thumb. This guarantees a good contraction. Hold the contracted position for a second as you squeeze the biceps.
Slowly begin to bring the dumbbells back to starting position as your breathe in. Caution: Avoid swinging motions at any time.
Repeat for the recommended amount of repetitions. Then repeat the movement with the left arm.
Variations: This exercise can be performed standing with the torso bent forward and the arm in front of you. In this case, no leg support is used for the back of your arm so you will need to make extra effort to ensure no movement of the upper arm. This is a more challenging version of the exercise and is not recommended for people with lower back issues.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/136/Male/l/136_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/136/Male/l/136_1.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-15.gif
Barbell Full Squat,Legs,Barbell,Strength,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.
Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position.
Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement.
Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position.
Repeat for the recommended amount of repetitions.
This type of squat allows a greater range of motion, and allows the trunk to maintain a more vertical position than other types of squats, due to foot position and the higher bar position.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/64/Male/m/64_1.jpg


https://www.bodybuilding.com/exercises/exerciseImages/sequences/64/Male/m/64_2.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-7.gif
Barbell DeadLift,Legs,Barbell,Strength,"Approach the bar so that it is centered over your feet. Your feet should be about hip-width apart. Bend at the hip to grip the bar at shoulder-width allowing your shoulder blades to protract. Typically, you would use an alternating grip.
With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head. Keep your chest up and your back arched, and begin driving through the heels to move the weight upward.
After the bar passes the knees aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.
Lower the bar by bending at the hips and guiding it to the floor.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/3831/Male/m/3831_1.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/3831/Male/m/3831_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/3831/Male/m/3831_3.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/3831/Male/m/3831_4.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-8.gif
Standing Barbell Calf Raises ,Legs,Barbell,Strength,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the bar on the back of your shoulders (slightly below the neck).
Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.
Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. The knees should be kept with a slight bend; never locked. This will be your starting position. Tip: For better range of motion you may also place the ball of your feet on a wooden block but be careful as this option requires more balance and a sturdy block.
Raise your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down.
Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.
Repeat for the recommended amount of repetitions.
Caution: If you suffer from lower back problems, a better exercise is the calf press as during a standing calf raise the back has to support the weight being lifted. Also, maintain your back straight and stationary at all times. Rounding of the back can cause lower back injury.

Variations: There are several other ways to perform a standing calf raise. A calf press machine instead of a squat rack can be used as well as dumbbells with one leg or two legs at a time. A smith machine can be used for calf raises as well. You can also perform the barbell calf raise using a piece of wood to place the ball of the foot. This will allow you to get a better range of motion. However be cautious as in this case you will need to balance yourself much better.","https://www.bodybuilding.com/exercises/exerciseImages/sequences/218/Male/m/218_2.jpg
https://www.bodybuilding.com/exercises/exerciseImages/sequences/218/Male/m/218_1.jpg",https://artifacts.bbcomcdn.com/exercises-app/1.2.1/img/guide-9.gif
